crit,dist_name,cer_fitted_tess
pearson,CC,0.2878668495309958
pearson,CQD,0.36873392042935516
pearson,CSC,0.18639257508435386
pearson,GB,0.5571352001759187
pearson,GN,0.8733850321618646
pearson,HEVC-SCC,0.45281513665514017
pearson,JPEG,0.37859275318613944
pearson,JPEG2000,0.474169098640287
pearson,MB,0.6071056484914679
spearman,CC,0.208294024958013
spearman,CQD,0.1470079136601568
spearman,CSC,0.0357298393195084
spearman,GB,0.4922964241498909
spearman,GN,0.7832799289399222
spearman,HEVC-SCC,0.325957337356421
spearman,JPEG,0.2270104054146387
spearman,JPEG2000,0.4500801210724768
spearman,MB,0.6806464528449082
